,url,text,sentiment,publish_date,title,themes,media_id,media_url,Leaning
0,http://www.gazettenet.com/Pats--Guy-honors-Vegas-shooting-victims-lost-baby-on-cleats-14067610,new england patriots defensive end lawrence guy displays cleats honor victims las vegas shooting october left families lost infant right team locker room following practice wednesday foxborough guy honor causes field weekend nfl cause cleats initiative ap wednesday nov. 29 2017 photo new england patriots defensive end lawrence guy takes questions reporters team locker room following nfl football practice foxborough mass guy honor victims oct. 2017 las vegas shooting families lost infant field weekend nfl cause cleats initiative ap photo/steven senne steven senne foxborough new england patriots defensive end lawrence guy familiar trials football field seven-year nfl career 27-year-old bounced around four teams landing new england free agent offseason football journey also intersected pair life-altering tragedies last year guy second full season baltimore ravens wife lost baby miscarriage fifth month pregnancy last month blindsided news hometown las vegas site deadliest mass shooting modern u.s. history sunday guy honor 59 killed 500 injured vegas attack nfl cause cleats initiative also wearing cleat lay sleep organization helped wife heal loss unborn child guy one 14 patriots wearing specialized cleats second year nfl-wide event aimed highlighting various organizations players want bring awareness games fans bid one-of-a-kind cleats proceeds going back players various charities guy said vegas shooting still haunts hit home family concert family staying hotel week said hurts ... think families enjoying got hit horrible news night morning gon na constantly affect affect families involved that. centerpiece guy las vegas cleat reimagined representation city iconic red white blue welcome fabulous las vegas sign depiction guy wearing right foot welcome replaced unity. rest sign reads forever vegas strong. bottom 10-1-17 date shooting left cleat wearing meaningful guy wife andrea married less year became pregnant guy middle offseason workouts passed five-month mark suffered miscarriage know organization time kept silent dealing way home recalled one stigmas want keep want share. connecting lay sleep helped see alone outlet help cope guy wife since gotten matching wrist tattoos angel wings halo daughter named estelle resources help heal process guy said trudges forward field guy also making latest opportunity since signing four-year 13.4 million deal offseason guy one consistent players new england battered defensive line started 10 11 games season making 21 tackles coach bill belichick praised guy patriots win miami defensive coordinator matt patricia said improved throughout season got great energy patricia said smart learns studies game got lot insight player able couple years. guy said never allowed discouraged despite multiple stops around league never give dream said ups downs business ... person gon na give put mind said gon na continue fight believe in. also guy said change anything personal journey tragedies triumphs person today went whole different person go said one questions change things life made know certain things happen things happened made today grateful person am. br boston massachusetts republicans hoping persuade enough voters back change state law would require residents produce id ... winston-salem n.c. black investigative journalist pulitzer prize groundbreaking work bitter legacy slavery ... first waves arrests deadly siege u.s. capitol focused easy targets dozens pro-trump mob openly bragged ...,"{'neg': 0.096, 'neu': 0.739, 'pos': 0.164, 'compound': 0.9865}",2017-12-01 00:18:44,"‘My Cause, My Cleats’",,26140,http://www.gazettenet.com,left
1,http://network.yardbarker.com/mlb/article_external/cubs_system_position_by_position_first_base_lacks_star_power/s1_13387_25135256,two organizations 33-year-old hit .259/.299/.361 168 plate appearances triple-a season free newsletters facebook twitter flipboard youtube lasting 1 2/3 innings second consecutive outing cubs 15-10 loss tuesday night jake arrieta pushed back notion time effective starter might coming end chicago cubs less ideal month june successful may club went tailspin continues day losers last 10 games chicago cubs non-tendered kyle schwarber surprised shocked even – bit sad went washington nationals exactly always done – erased slow start putting huge numbers courtesy insane hot streak find manuel rodriguez name top 30 prospect list find many fans know heard name despite seven-year career within organization hot may everyone thinking cubs would buying deadline quite departure direction clearly signaled panic trade yu darvish victor caratini mired midst losing streak apocalyptic proportions hit 10 consecutive games hard imagine couple weeks ago nearly every chicago cubs fan calling max scherzer comparable starting pitcher bolster north siders starting rotation eyes jacob degrom seeks break bob gibson modern era record https //stathead.com/tiny/kaoty note counting negro ... cubs lost 10 row sogard pitched three times losing streak corresponding roster move cubs designated fellow catcher taylor gushue assignment new york yankees released chirinos sunday took veteran day land big league opportunity elsewhere many may feeling doom gloom horizon going forward chicago cubs team quietly done good job restocking farm since stripping barren recent run contention excitement chicago cubs first place little week ago easy forget said beginning year chicago cubs fans scratched heads past offseason 2020 national league cy young runner-up yu darvish catcher victor caratini dealt san diego seemingly underwhelming return cubs lost nine straight games 42-42 season watching nicholas castellanos play key role handing chicago cubs seventh-straight loss friday night really sucked know called difference month makes june 2 fangraphs gave chicago cubs 47.9 percent chance reaching postseason – highest odds season seven-and-a-half games span week chicago cubs plummeted top national league central standings dramatic fashion new york mets want add punch lineup reportedly eyeing big-name third basemen order lobaton visibly quite bit pain shortly play cubs manager david ross told reporters tuesday night injury pretty serious chicago cubs blanked los angeles dodgers 4-0 thursday process four cubs pitchers combined no-hitter historic no-hitter seventh no-hitter 2021 major league baseball season ties major league baseball modern-day record no-hitters season chicago cubs threw first combined no-hitter franchise history thursday four pitchers stymied los angeles dodgers 4-0 win dodger stadium mlb foreign substances problem getting hand good league addressing maybe timing best players need deal get latest news rumors customized favorite sports teams emailed daily always free,"{'neg': 0.112, 'neu': 0.731, 'pos': 0.157, 'compound': 0.9619}",2017-12-02 11:56:28,Cubs System Position-by-Position: First Base Lacks Star Power,,86839,http://www.yardbarker.com/#spider,center
2,http://www.eonline.com/news/897728/celine-dion-imagine-dragons-and-more-unite-at-largest-vegas-strong-benefit-concert?cmpid=rss-000000-rssfeed-365-topstories&utm_source=eonline&utm_medium=rssfeeds&utm_campaign=rss_topstories,celine dion imagine dragons top performers appeared onstage vegas strong benefit concert friday las vegas t-mobile arena largest musical event pay tribute victims october 1 shooting inside 32nd-floor suite mandalay bay hotel male gunman fired audience route 91 harvest festival killing 58 people injuring hundreds shooting dead marked worst mass shooting modern u.s. history dion appeared video recorded october one concerts caesars palace colosseum saying dedicate tonight show victims families first responders doctors nurses working around clock save lives many heroes whatever could help complete strangers time desperate needs proceeds concert set go vegas shooting victims fund dion also donated proceeds show shooting survivors singer appears prerecorded videotaped message paid tribute victims oct. 1 2017 shooting las vegas filmed one concerts city took place days tragedy group performed motownphilly capella version hard say goodbye yesterday today ever proud city music shows nothing divide us tonight one vegas strong frontman told crowd band played songs whatever takes believer initiating moment silence honor victims oct. 1 2017 las vegas shooting end set crowd stood sing along top world radioactive veteran vegas performer introduces videotaped appearance elton john artists mystère show pose photo las vegas native washington nationals 2015 national league mvp thanked first responders las vegas metropolitan police department hospital staff november dion appeared person smaller vegas strong benefit concert omnia nightclub caesars palace joined dj steve aoki perform special version hit ballad heart go jason aldean also appeared friday vegas strong benefit concert via videotaped message told crowd louder bad guys according las vegas review-journal said could person wife due give birth outlet reported brittany aldean welcomed first child boy night aldean one survivors shooting took place country star performing onstage route 91 harvest music festival aldean unhurt vegas strong benefit concert friday imagine dragons killers performed onstage separately also performed elvis presley viva las vegas together along acts marking first time bands formed las vegas shared stage today ever proud city imagine dragons frontman dan reynolds said music shows nothing divide us tonight one vegas strong killers performed still names people killed shooting displayed screen band closed show hits young somebody told enough love room tonight light las vegas singer brandon flowers said also live performances likes penn teller david copperfield blue man group cirque du soleil boyz ii men told crowd show testament strong las vegas really best use talent lift people spirits put smile face wayne newton said onstage introducing elton john addressed audience via video performed song let sun go crowd joined source entertainment news celebrities celeb news ​celebrity gossip check hottest fashion photos movies tv shows 2021 e entertainment television llc division nbcuniversal rights reserved,"{'neg': 0.103, 'neu': 0.713, 'pos': 0.184, 'compound': 0.9909}",2017-12-02 15:24:00,"Celine Dion, Imagine Dragons and More Unite at Largest Vegas Strong Benefit Concert",,5856,http://www.eonline.com/,Center Left
