media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"497563","http://attacksontrumpsupporters.com/","attacksontrumpsupporters.com","","","","","","","","0.0","2016-01-25"
"112495","http://aul.org/","aul.org","","","","","","","","0.13","2012-10-29"
"226388","http://autisminvestigated.com/","autisminvestigated.com","","","","","","","","0.0","2013-07-08"
"971425","http://avapateforuscongress.com/","avapateforuscongress.com","","","","","","","","0.0","2018-11-05"
"190436","http://avid.com/","avid.com","","","","","","","","0.0","2012-12-10"
"1223737","http://aviyemini.com.au/","aviyemini.com.au","","","","","","","","0.0","2018-05-07"
"28878","http://www.avon.com#spider","avon.com","","","","","","","","0.0","2011-03-28"
"310591","http://awm.com/","awm.com","","","en","United States","","","","13.88","2018-10-22"
"97069","http://www.azgovernor.gov/#spider","azgovernor.gov","","","","","","","","0.16","2017-01-09"
"296291","http://azquotes.com/","azquotes.com","","","","","","","","0.0","2011-04-04"
"1219579","http://azws.us/","azws.us","","","","","","","","0.0","2019-02-25"
"1388993","http://b105country.com/","b105country.com","","","","","","","","0.04","2019-09-30"
"39593","http://www.b92.net/info/","b92net_sr","","","hr","none","","","","77.61","2013-03-11"
"66600","http://babalublog.com/","babalublog.com","","","en","Republic of Cuba","","","","5.92","2013-04-29"
"302793","http://babylonbee.com/","babylonbee.com","","","en","United States","","","","5.58","2018-10-08"
"354728","http://back.ly/","back.ly","","","","","","","","0.0","2012-07-09"
"30099","http://www.backpage.com#spider","backpage.com","","","","","","","","0.0","2011-10-31"
"1272182","http://backroombuzz.com/","backroombuzz.com","","","","","","","","0.0","2019-03-18"
"27817","http://www.bakersfield.com/","Bakersfield.com - Kern County news, events, shopping & search","USA","US-CA","en","United States","print_native","","","18.96","2012-08-27"
"73848","http://www.bankinfosecurity.com/#spider","bankinfosecurity.com","","","","","","","","0.0","2013-05-20"
"1327500","http://banned.video/","banned.video","","","","","","","","0.04","2019-09-30"
"1311274","http://barbosaforcongress.com/","barbosaforcongress.com","","","","","","","","0.0","2019-07-15"
"106285","http://barbwire.com/","barbwire.com","","","en","United States","","","","0.0","2014-02-17"
"752050","http://barefootcavalry.com/","barefootcavalry.com","","","","","","","","0.0","2016-10-10"
"67797","http://www.barenakedislam.com/#spider","barenakedislam.com","","","en","none","","","","5.7","2013-06-03"
"223503","http://barkpost.com/","barkpost.com","","","","","","","","0.0","2014-01-06"
"1163386","http://barnfinds.com/","barnfinds.com","","","","","","","","0.0","2015-10-12"
"1046410","http://barracks.marines.mil/","barracks.marines.mil","","","","","","","","0.0","2018-11-12"
"180877","http://barrett-jackson.com/","barrett-jackson.com","","","","","","","","0.0","2013-01-28"
"122637","http://baruch.cuny.edu/","baruch.cuny.edu","","","","","","","","0.01","2014-01-06"
"32822","http://www.baumhedlundlaw.com#spider","baumhedlundlaw.com","","","","","","","","0.0","2012-09-24"
"131496","http://baylorbears.com/","baylorbears.com","","","","","","","","0.0","2014-04-14"
"39268","http://bazonline.ch/","baz","CHE","","de","none","print_native","","","62.33","2013-03-11"
"1310263","http://bbc-edition.com/","bbc-edition.com","","","","","","","","0.0","2019-02-25"
"99019","http://bearingarms.com/#spider","bearingarms.com","","","en","United States","","","","8.17","2016-02-15"
"32188","http://beefmagazine.com#spider","beefmagazine.com","","","","","","","","0.01","2012-02-27"
"29363","http://beforeitsnews.com#spider","beforeitsnews.com","","","en","United States","","","","0.44","2015-06-15"
"567313","http://beholdisrael.org/","beholdisrael.org","","","","","","","","1.63","2020-01-27"
"1358814","http://believersportal.com/","believersportal.com","","","","","","","","0.0","2016-09-05"
"29896","http://berggruen.org#spider","berggruen.org","","","","","","","","0.0","2013-02-25"
"27025","http://www.bernardgoldberg.com","bernardgoldberg.com","","","","","","","","0.0","2012-04-30"
"39325","http://betanews.com/","betanews","USA","","en","none","","","","6.09","2013-03-11"
"1135992","http://bethepeoplenews.com/","bethepeoplenews.com","","","","","","","","0.0","2018-12-10"
"144609","http://bgdailynews.com/","bgdailynews.com","USA","US-KY","en","United States","print_native","","","0.11","2011-05-30"
"26331","http://www.bible.com","bible.com","","","","","","","","0.0","2011-07-04"
"24697","http://www.biblegateway.com","biblegateway.com","","","","","","","","0.0","2012-04-30"
"20113","http://www.bibliotecapleyades.net","bibliotecapleyades.net","","","","","","","","0.0","2014-10-20"
"74623","http://www.bicom.org.uk/#spider","bicom.org.uk","ISR","","en","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.0","2013-07-01"
"415595","http://bigleaguepolitics.com/","Big League Politics","","","en","United States","","","","8.36","2017-09-18"
"152017","http://big12sports.com/","big12sports.com","","","","","","","","0.0","2012-06-11"
"194754","http://bigcountryhomepage.com/","bigcountryhomepage.com","USA","US-TX","en","United States","video_broadcast","","","32.6","2019-08-26"
"209866","http://biggeekdad.com/","biggeekdad.com","","","","","","","","0.0","2012-10-15"
"204864","http://biggerpockets.com/","biggerpockets.com","","","","","","","","0.01","2012-12-31"
"439980","http://biggs.house.gov/","biggs.house.gov","","","","","","","","0.0","2017-05-01"
"939488","http://bikernet.com/","bikernet.com","","","","","","","","0.0","2018-10-22"
"69478","http://www.bilderbergmeetings.org/#spider","bilderbergmeetings.org","","","","","","","","0.0","2014-12-22"
"114816","http://billionbibles.org/","billionbibles.org","","","","","","","","0.0","2016-12-05"
"305535","http://billlawrenceonline.com/","billlawrenceonline.com","","","","","","","","0.0","2011-06-27"
"69333","http://billofrightsinstitute.org/#spider","billofrightsinstitute.org","","","","","","","","0.0","2011-12-12"
"25859","http://www.billoreilly.com","billoreilly.com","","","en","United States","","","","0.07","2016-11-28"
"85369","http://www.billygraham.org/#spider","billygraham.org","","","en","United States","","","","1.24","2014-05-05"
"87187","http://www.bishop-accountability.org/#spider","bishop-accountability.org","","","","","","","","0.0","2015-09-21"
"549976","http://bitchute.com/","bitchute.com","","","","","","","","0.0","2018-04-09"
"1383214","http://bittube.tv/","bittube.tv","","","","","","","","0.0","2020-03-09"
"69353","http://www.bizpacreview.com/#spider","BizPacReview","","","en","United States","","","","32.09","2016-05-09"
"301950","http://bjpenn.com/","bjpenn.com","","","","","","","","0.0","2015-06-01"
"318685","http://blabber.buzz/","blabber.buzz","","","","","","","","0.09","2018-11-05"
"33431","http://blackboxvoting.org#spider","blackboxvoting.org","","","","","","","","0.0","2012-11-05"
"1266866","http://blackburn.senate.gov/","blackburn.senate.gov","","","","","","","","0.0","2019-04-08"
"159773","http://blackcommunitynews.com/","blackcommunitynews.com","","","","","","","","0.0","2012-08-27"
"913669","http://blackeyepolitics.com/","blackeyepolitics.com","","","","","","","","1.82","2018-04-02"
"25454","http://blackgenocide.org","blackgenocide.org","","","","","","","","0.0","2012-03-26"
"30513","http://www.blacklistednews.com#spider","blacklistednews.com","","","en","United States","","","","6.69","2017-10-23"
"315026","http://blacklocks.ca/","blacklocks.ca","","","en","Canada","","","","3.82","2019-07-29"
"472579","http://blackmanwithagun.com/","blackmanwithagun.com","","","","","","","","0.0","2017-04-24"
"22088","http://www.theblaze.com","Blaze","USA","","en","United States","digital_native","","","24.69","2013-06-03"
"1126324","http://blazetv.com/","blazetv.com","","","","","","","","0.0","2018-04-09"
"149034","http://blazingcatfur.ca/","blazingcatfur.ca","","","","","","","","0.0","2015-07-20"
"699660","http://block.fiverr.com/","block.fiverr.com","","","","","","","","0.0","2018-02-19"
"84688","http://blog.archny.org/#spider","blog.archny.org","","","","","","","","0.0","2018-04-02"
"19099","http://www.blogger.com","blogger.com","","","","","","","","0.02","2011-12-12"
"313487","http://bloodredpatriots.com/","bloodredpatriots.com","","","","","","","","0.0","2016-04-04"
"148410","http://bloodyelbow.com/","bloodyelbow.com","","","","","","","","0.01","2013-03-04"
"1305316","http://bluenewsnetwork.com/","bluenewsnetwork.com","","","","","","","","0.0","2019-03-11"
"323314","http://bluntforcetruth.com/","bluntforcetruth.com","","","","","","","","0.29","2017-07-10"
"25071","http://boards.4chan.org","boards.4chan.org","","","","","","","","0.0","2012-03-26"
"136669","http://bolenreport.com/","bolenreport.com","","","","","","","","0.0","2011-10-03"
"854898","http://bombardsbodylanguage.com/","bombardsbodylanguage.com","","","","","","","","0.0","2018-03-19"
"94336","http://www.bongino.com/#spider","bongino.com","","","en","United States","","","","0.04","2018-09-03"
"754988","http://bookauthority.org/","bookauthority.org","","","","","","","","0.0","2018-04-16"
"70797","http://www.booksamillion.com/#spider","booksamillion.com","","","","","","","","0.0","2013-06-10"
"1181365","http://borderfacts.com/","borderfacts.com","","","","","","","","0.0","2019-01-28"
"55380","http://borderlandbeat.com/","borderlandbeat.com","","","en","Mexico","","","","6.23","2013-04-22"
"1290959","http://borderpac.org/","borderpac.org","","","","","","","","0.0","2019-04-01"
"1228816","http://borderwallnow.com/","borderwallnow.com","","","","","","","","0.0","2019-03-04"
"710160","http://boundingintocomics.com/","boundingintocomics.com","","","","","","","","0.0","2018-02-05"
"53129","http://www.bpnews.net/#spider","bpnews.net","","","","","","","","0.02","2015-07-20"
"305867","http://br.usembassy.gov/","br.usembassy.gov","","","","","","","","0.0","2015-06-15"
"1306055","http://brainstain.us/","brainstain.us","","","","","","","","0.0","2017-12-11"
"824043","http://brassballs.blog/","brassballs.blog","","","","","","","","0.0","2017-05-22"
"1301933","http://brasspills.com/","brasspills.com","","","","","","","","0.0","2019-02-04"
"601024","http://brave.com/","brave.com","","","","","","","","0.0","2016-01-18"
"206447","http://breaking911.com/","breaking911.com","","","en","United States","","","","6.72","2016-11-28"
"88003","http://www.breakingchristiannews.com/#spider","breakingchristiannews.com","","","","","","","","0.01","2015-08-10"
"108320","http://breakingisraelnews.com/","breakingisraelnews.com","","","","","","","","0.01","2015-04-20"
"53665","http://www.breakpoint.org/#spider","breakpoint.org","","","","","","","","0.01","2011-01-10"
"82167","http://www.breakthematrix.com/#spider","breakthematrix.com","","","","","","","","0.0","2019-01-21"
"19334","http://www.breitbart.com","Breitbart","USA","","en","United States","digital_native","","","69.41","2014-04-07"
"288749","http://brevardtimes.com/","brevardtimes.com","","","","","","","","0.0","2012-03-12"
"323590","http://brexitcentral.com/","brexitcentral.com","","","","","","","","0.0","2016-09-12"
"1128869","http://bridgestonegolf.com/","bridgestonegolf.com","","","","","","","","0.0","2018-12-03"
"1389654","http://briefingsforbritain.co.uk/","briefingsforbritain.co.uk","","","","","","","","0.02","2018-02-05"
"935330","http://brighteon.com/","brighteon.com","","","","","","","","0.02","2018-10-22"
"1229774","http://brightstartnews.com/","brightstartnews.com","","","","","","","","0.0","2019-02-11"
"1421487","http://bringhomeourtroops.com/","bringhomeourtroops.com","","","","","","","","0.0","2020-03-30"
"286574","http://britishpakistanichristians.org/","britishpakistanichristians.org","","","","","","","","0.0","2016-01-11"
"1351908","http://brothersbeforeothers.org/","brothersbeforeothers.org","","","","","","","","0.0","2019-02-18"
"26171","http://www.browardbeat.com","browardbeat.com","","","","","","","","0.0","2013-10-28"
"30445","http://brownfieldagnews.com#spider","brownfieldagnews.com","","","","","","","","0.01","2014-01-13"
"247736","http://brugesgroup.com/","brugesgroup.com","","","","","","","","0.0","2014-08-25"
"767342","http://btnews.online/","btnews.online","","","","","","","","0.0","2016-06-20"
"335724","http://buddylist.co/","buddylist.co","","","","","","","","0.01","2016-11-28"
"67442","http://www.budget.senate.gov/#spider","budget.senate.gov","","","","","","","","0.0","2015-01-26"
"1228704","http://buildtheborderwall.com/","buildtheborderwall.com","","","","","","","","0.0","2019-03-04"
"715147","http://bunnyears.com/","bunnyears.com","","","","","","","","0.0","2020-03-02"
"1177767","http://burnmorecoal.com/","burnmorecoal.com","","","","","","","","0.0","2018-10-15"
"22603","http://www.burr.senate.gov","burr.senate.gov","","","","","","","","0.0","2012-01-30"
"1459320","http://busch.com/","busch.com","","","","","","","","0.0","2020-04-20"
"290409","http://businessfacilities.com/","businessfacilities.com","","","","","","","","0.06","2014-08-18"
"1147096","http://businessfinland.fi/","businessfinland.fi","","","","","","","","0.0","2020-03-09"
"360649","http://busqueda.com.uy/","busqueda.com.uy","URY","","es","none","print_native","","","0.0","2019-08-26"
"1230633","http://bustatroll.org/","bustatroll.org","","","","","","","","0.0","2019-02-18"
"350384","http://buydirectusa.com/","buydirectusa.com","","","","","","","","0.0","2016-12-05"
"1067369","http://buzzconservative.com/","buzzconservative.com","","","","","","","","0.0","2018-11-12"
"1067534","http://buzzvideo.com/","buzzvideo.com","","","","","","","","0.01","2019-01-28"
"114363","http://c-fam.org/","c-fam.org","","","","","","","","0.01","2015-02-02"
"1230930","http://c-vine.com/","c-vine.com","","","","","","","","0.0","2019-01-21"
"384464","http://c2cjournal.ca/","c2cjournal.ca","","","","","","","","0.0","2016-11-28"
"91555","http://www.c7f.navy.mil/#spider","c7f.navy.mil","","","","","","","","0.0","2016-01-25"
"6489","http://caffeinatedthoughts.com","Caffeinated Thoughts","","","en","United States","","","","0.57","2011-01-03"
"81104","http://www.cagw.org/#spider","cagw.org","","","","","","","","0.0","2012-11-12"
"341238","http://cairnsnews.org/","cairnsnews.org","","","","","","","","0.07","2014-07-14"
"150546","http://cal-catholic.com/","cal-catholic.com","","","","","","","","0.0","2012-11-05"
"881273","http://caldronpool.com/","caldronpool.com","","","","","","","","0.01","2017-10-23"
"115950","http://calgarysun.com/","calgarysun.com","CAN","CA-AB","en","United States","print_native","","","5.44","2017-03-27"
"560781","http://caliconservative.com/","caliconservative.com","","","","","","","","0.0","2017-02-13"
"194074","http://californiafamily.org/","californiafamily.org","","","","","","","","0.0","2014-11-24"
"1221432","http://californiaglobe.com/","californiaglobe.com","","","","","","","","0.12","2019-02-04"
"304779","http://californiajimmy.com/","californiajimmy.com","","","","","","","","0.0","2016-05-09"
"76765","http://www.camera.org/#spider","camera.org","","","","","","","","0.07","2014-07-14"
"1348293","http://campaignresearch.com/","campaignresearch.com","","","","","","","","0.0","2017-05-15"
"30252","http://www.campusreform.org#spider","campusreform.org","","","en","United States","","","","0.0","2014-05-19"
"18689","http://www.canadafreepress.com","canadafreepress.com","CAN","","en","United States","digital_native","","","5.21","2012-04-30"
"354112","http://canarymission.org/","canarymission.org","","","","","","","","0.0","2016-12-05"
"96580","https://www.candgnews.com/#spider","candgnews.com","","","","","","","","0.0","2013-09-30"
"54105","http://www.canoncitydailyrecord.com/#spider","canoncitydailyrecord.com","USA","US-CO","en","United States","print_native","","","12.36","2018-08-13"
"304659","http://capetalk.co.za/","capetalk.co.za","ZAF","ZA-WC","en","Republic of South Africa","video_broadcast","","","13.07","2017-12-04"
"1063815","http://capforcanada.com/","capforcanada.com","","","en","Canada","","","","1.52","2019-07-15"
"545967","http://capfriendly.com/","capfriendly.com","","","","","","","","0.0","2017-06-26"
"1229196","http://capitalhill.org/","capitalhill.org","","","","","","","","0.0","2019-02-04"
"1272058","http://capitalwomensservices.com/","capitalwomensservices.com","","","","","","","","0.0","2019-05-20"
"251876","http://capito.senate.gov/","capito.senate.gov","","","","","","","","0.0","2015-11-09"
"29618","http://www.capoliticalreview.com#spider","capoliticalreview.com","USA","US-CA","en","United States","digital_native","","","9.94","2017-12-04"
"114163","http://capsweb.org/","capsweb.org","","","","","","","","0.0","2013-04-15"
"336279","http://captiongenerator.com/","captiongenerator.com","","","","","","","","0.0","2012-10-15"
"214542","http://caravantomidnight.com/","caravantomidnight.com","","","","","","","","0.0","2015-02-16"
"246595","http://carbuzz.com/","carbuzz.com","","","","","","","","0.0","2012-11-12"
"75392","http://careers.state.gov/#spider","careers.state.gov","","","","","","","","0.0","2013-06-17"
"71388","http://www.carlbernstein.com/#spider","carlbernstein.com","","","","","","","","0.0","2012-03-05"
"86924","http://carm.org/#spider","carm.org","","","","","","","","0.64","2016-03-07"
"223907","http://carolinacoastonline.com/","carolinacoastonline.com","USA","US-NC","en","United States","print_native","","","0.3","2016-08-29"
"71263","http://www.cashill.com/#spider","cashill.com","","","","","","","","0.0","2012-04-30"
"668949","http://casoaislado.com/","casoaislado.com","","","es","New York City","","","","0.0","2018-09-03"
"115346","http://cny.org/","Catholic New York","USA","US-NY","en","United States","print_native","","","0.0","2019-08-26"
"25951","http://www.catholicculture.org","catholicculture.org","","","","","","","","0.01","2011-05-09"
"109834","http://catholicherald.co.uk/","catholicherald.co.uk","","","","","","","","0.01","2011-01-17"
"25985","http://www.catholicleague.org","catholicleague.org","","","","","","","","0.0","2016-08-15"
"84877","http://www.catholicnewsagency.com/#spider","catholicnewsagency.com","","","","","","","","0.06","2015-01-12"
"93022","http://catholicphilly.com/#spider","catholicphilly.com","USA","US-PA","en","United States","digital_native","","","5.76","2018-01-29"
"87293","http://www.catholicvote.org/#spider","catholicvote.org","","","","","","","","1.5","2015-02-02"
"87487","http://www.catholicworldreport.com/#spider","catholicworldreport.com","","","","","","","","0.03","2011-05-02"
"501573","http://cathyfox.wordpress.com/","cathyfox.wordpress.com","","","","","","","","0.0","2014-09-15"
"366422","http://cbn.com/","cbn.com","","","","","","","","0.06","2014-09-08"
"21719","http://www.cbp.gov","cbp.gov","","","","","","","","0.0","2016-09-12"
"87220","http://www.cbronline.com/#spider","cbronline.com","GBR","","","","","","","0.0","2012-05-14"
"73730","http://cc.bingj.com/#spider","cc.bingj.com","","","","","","","","0.0","2012-12-17"
"1236724","http://ccbiznews.com/","ccbiznews.com","","","","","","","","0.0","2019-03-11"
"536690","http://cccme.org.cn/","cccme.org.cn","","","","","","","","0.0","2017-06-26"
"502180","http://cchrflorida.org/","cchrflorida.org","","","","","","","","0.0","2012-08-20"
"18373","http://cei.org","cei.org","","","","","","","","0.02","2011-06-20"
"1299090","http://censoredevents.com/","censoredevents.com","","","","","","","","0.0","2019-07-01"
"1085524","http://centerforindividualism.org/","centerforindividualism.org","","","","","","","","0.0","2018-01-29"
"349187","http://centerformedicalprogress.org/","centerformedicalprogress.org","","","","","","","","0.0","2013-04-01"
"27093","http://www.centerforsecuritypolicy.org","centerforsecuritypolicy.org","","","","","","","","3.34","2015-02-09"
"294467","http://centerstreet.com/","centerstreet.com","","","","","","","","0.0","2017-03-06"
"415984","http://centralfloridapost.com/","centralfloridapost.com","","","","","","","","0.0","2016-10-31"
"558045","http://cernovich.com/","cernovich.com","","","","","","","","0.0","2017-09-11"
"117341","http://cfact.org/","cfact.org","","","","","","","","2.27","2012-11-26"
"21462","http://cfif.org","cfif.org","","","","","","","","0.0","2012-04-30"
"704782","http://channelstore.roku.com/","channelstore.roku.com","","","","","","","","0.0","2018-02-19"
"113178","http://charismamag.com/","charismamag.com","","","","","","","","0.02","2011-04-18"
"91005","http://www.charismanews.com/#spider","charismanews.com","","","en","United States","","","","10.36","2017-03-13"
"1164162","http://charleskrauthammer.com/","charleskrauthammer.com","","","","","","","","0.0","2019-01-14"
"70558","http://www.charliedaniels.com/#spider","charliedaniels.com","","","","","","","","0.0","2016-03-28"
"1317690","http://checkmyclinic.org/","checkmyclinic.org","","","","","","","","0.0","2018-01-15"
"559437","http://checkyourfact.com/","checkyourfact.com","","","","","","","","0.0","2017-05-29"
"1430742","http://cherrieswriter.com/","cherrieswriter.com","","","","","","","","0.0","2020-02-10"
"26446","http://chicagoist.com","chicagoist.com","USA","US-IL","en","United States","digital_native","","","0.0","2015-06-29"
"438207","http://chick-fil-afoundation.org/","chick-fil-afoundation.org","","","","","","","","0.0","2018-07-02"
"618879","http://chicksonright.com/","chicksonright.com","","","en","United States","","","","9.94","2018-10-29"
"913210","http://childrenshealthdefense.org/","childrenshealthdefense.org","","","en","United States","","","","4.81","2019-04-22"
