,Location,Days Passed,# Articles
0,Bogue,0,0
1,Bogue,1,0
2,Bogue,2,0
3,Bogue,3,0
4,Bogue,4,0
5,Bogue,5,0
6,Bogue,6,0
7,Bogue,7,0
8,Bogue,8,0
9,Bogue,9,0
10,Bogue,10,0
11,Bogue,11,0
12,Bogue,12,0
13,Bogue,13,0
14,Bogue,14,0
15,Bogue,15,0
16,Bogue,16,0
17,Bogue,17,0
18,Bogue,18,0
19,Bogue,19,0
20,Bogue,20,0
21,Bogue,21,0
22,Bogue,22,0
23,Bogue,23,0
24,Bogue,24,0
25,Bogue,25,0
26,Bogue,26,0
27,Bogue,27,0
28,Bogue,28,0
29,Bogue,29,0
30,Bogue,30,0
31,Bogue,31,0
32,Bogue,32,0
33,Bogue,33,0
34,Bogue,34,0
35,Bogue,35,0
36,Bogue,36,0
37,Bogue,37,0
38,Bogue,38,0
39,Bogue,39,0
40,Bogue,40,0
41,Bogue,41,0
42,Bogue,42,0
43,Bogue,43,0
44,Bogue,44,0
45,Bogue,45,0
46,Bogue,46,0
47,Bogue,47,0
48,Bogue,48,0
49,Bogue,49,0
50,Bogue,50,0
51,Bogue,51,0
52,Bogue,52,0
53,Bogue,53,0
54,Bogue,54,0
55,Bogue,55,0
56,Bogue,56,0
57,Bogue,57,0
58,Bogue,58,0
59,Bogue,59,0
60,Bogue,60,0
61,Bogue,61,0
62,Bogue,62,0
63,Bogue,63,0
64,Bogue,64,0
65,Bogue,65,0
66,Bogue,66,0
67,Bogue,67,0
68,Bogue,68,0
69,Bogue,69,0
70,Bogue,70,0
71,Bogue,71,0
72,Bogue,72,0
73,Bogue,73,0
74,Bogue,74,0
75,Bogue,75,0
76,Bogue,76,0
77,Bogue,77,0
78,Bogue,78,0
79,Bogue,79,0
80,Bogue,80,0
81,Bogue,81,0
82,Bogue,82,0
83,Bogue,83,0
84,Bogue,84,0
85,Bogue,85,0
86,Bogue,86,0
87,Bogue,87,0
88,Bogue,88,0
89,Bogue,89,0
90,Boulder,0,25
91,Boulder,5,426
92,Boulder,10,36
93,Boulder,15,6
94,Boulder,20,5
95,Boulder,25,15
96,Boulder,30,6
97,Boulder,35,9
98,Boulder,40,2
99,Boulder,45,4
100,Boulder,50,18
101,Boulder,55,6
102,Boulder,65,4
103,Boulder,70,1
104,Boulder,75,2
105,DC,5,60
106,DC,10,13
107,DC,0,24
108,DC,25,2
109,DC,20,1
110,DC,55,3
111,DC,60,1
112,DC,40,1
113,DC,80,2
114,Houston,0,1
115,Houston,5,3
116,Houston,85,1
117,Odessa,0,15
118,Odessa,5,147
119,Odessa,10,20
120,Odessa,15,18
121,Odessa,20,4
122,Odessa,25,5
123,Odessa,30,2
124,Odessa,45,2
125,Odessa,60,1
126,Odessa,40,2
127,Odessa,55,1
128,Odessa,85,1
129,Odessa,65,1
130,Odessa,70,1
131,Pittsburgh,0,59
132,Pittsburgh,5,284
133,Pittsburgh,10,39
134,Pittsburgh,15,42
135,Pittsburgh,20,19
136,Pittsburgh,25,7
137,Pittsburgh,30,3
138,Pittsburgh,35,10
139,Pittsburgh,40,10
140,Pittsburgh,60,4
141,Pittsburgh,45,9
142,Pittsburgh,50,3
143,Pittsburgh,55,6
144,Pittsburgh,65,4
145,Pittsburgh,85,1
146,Pittsburgh,95,1
147,Pittsburgh,75,1
148,Pittsburgh,80,2
149,Plano,5,6
150,Plano,15,1
151,Plano,20,4
152,Plano,25,3
153,Plano,0,3
154,Plano,60,6
155,Plano,55,2
156,Plano,65,3
157,Plano,70,1
158,SanBernadino,5,342
159,SanBernadino,0,58
160,SanBernadino,10,74
161,SanBernadino,15,37
162,SanBernadino,20,23
163,SanBernadino,25,2
164,SanBernadino,30,8
165,SanBernadino,35,13
166,SanBernadino,40,5
167,SanBernadino,45,7
168,SanBernadino,50,5
169,SanBernadino,55,7
170,SanBernadino,65,8
171,SanBernadino,60,1
172,SanBernadino,80,22
173,SanBernadino,85,8
174,SanBernadino,90,4
175,SanBernadino,95,3
176,SanBernadino,75,1
177,SanBernadino,70,2
178,Vegas,5,1436
179,Vegas,0,4
180,Vegas,10,239
181,Vegas,15,74
182,Vegas,20,45
183,Vegas,25,36
184,Vegas,30,41
185,Vegas,35,30
186,Vegas,40,46
187,Vegas,45,27
188,Vegas,50,17
189,Vegas,55,14
190,Vegas,60,17
191,Vegas,65,18
192,Vegas,70,10
193,Vegas,75,15
194,Vegas,85,12
195,Vegas,90,16
196,Vegas,95,4
197,Vegas,80,3
198,VirginiaBeach,0,19
199,VirginiaBeach,5,92
200,VirginiaBeach,10,9
201,VirginiaBeach,15,4
202,VirginiaBeach,20,2
203,VirginiaBeach,25,2
204,VirginiaBeach,30,2
205,VirginiaBeach,35,5
206,VirginiaBeach,40,3
207,VirginiaBeach,45,2
208,VirginiaBeach,50,2
209,VirginiaBeach,60,4
210,VirginiaBeach,55,1
211,VirginiaBeach,65,5
212,VirginiaBeach,70,4
213,VirginiaBeach,85,2
214,VirginiaBeach,75,1
