Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,0.01,0.5382666979488869
75% Corpus,8,symmetric,0.31,0.425348703237361
75% Corpus,8,symmetric,0.61,0.4064974441599326
75% Corpus,8,symmetric,0.9099999999999999,0.4227739802564776
75% Corpus,8,symmetric,symmetric,0.40144922662411436
75% Corpus,8,asymmetric,0.01,0.5051458802545282
75% Corpus,8,asymmetric,0.31,0.40862967971510294
75% Corpus,8,asymmetric,0.61,0.4107362799989366
75% Corpus,8,asymmetric,0.9099999999999999,0.353248804351063
75% Corpus,8,asymmetric,symmetric,0.3992315452292843
75% Corpus,9,0.01,0.01,0.5157921076888792
75% Corpus,9,0.01,0.31,0.39061691734713844
75% Corpus,9,0.01,0.61,0.4183129778562828
75% Corpus,9,0.01,0.9099999999999999,0.42493407216766044
75% Corpus,9,0.01,symmetric,0.390713311452332
75% Corpus,9,0.31,0.01,0.5126682938680367
75% Corpus,9,0.31,0.31,0.4001740501776467
75% Corpus,9,0.31,0.61,0.3768374228039079
75% Corpus,9,0.31,0.9099999999999999,0.39103607606959484
75% Corpus,9,0.31,symmetric,0.40840596299702425
75% Corpus,9,0.61,0.01,0.5091947451318445
75% Corpus,9,0.61,0.31,0.376355577846395
75% Corpus,9,0.61,0.61,0.36842920299643134
75% Corpus,9,0.61,0.9099999999999999,0.3646021710359302
75% Corpus,9,0.61,symmetric,0.38228172340940303
75% Corpus,9,0.9099999999999999,0.01,0.5222725054316041
75% Corpus,9,0.9099999999999999,0.31,0.4008747349226177
75% Corpus,9,0.9099999999999999,0.61,0.40461547267010023
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.43331593564413046
75% Corpus,9,0.9099999999999999,symmetric,0.39816678162883806
75% Corpus,9,symmetric,0.01,0.5293857496222623
75% Corpus,9,symmetric,0.31,0.4213513527938003
75% Corpus,9,symmetric,0.61,0.3962361989433373
75% Corpus,9,symmetric,0.9099999999999999,0.42821543853658656
75% Corpus,9,symmetric,symmetric,0.39871237082790395
75% Corpus,9,asymmetric,0.01,0.4897032561736301
75% Corpus,9,asymmetric,0.31,0.3994546381757227
75% Corpus,9,asymmetric,0.61,0.37313171113622223
75% Corpus,9,asymmetric,0.9099999999999999,0.31459929521678
75% Corpus,9,asymmetric,symmetric,0.44018005822421136
75% Corpus,10,0.01,0.01,0.5177159957275519
75% Corpus,10,0.01,0.31,0.4104044990621995
75% Corpus,10,0.01,0.61,0.41120349433487097
75% Corpus,10,0.01,0.9099999999999999,0.4165224383251228
75% Corpus,10,0.01,symmetric,0.4144723985337129
75% Corpus,10,0.31,0.01,0.5168319213605161
75% Corpus,10,0.31,0.31,0.40112054419128285
75% Corpus,10,0.31,0.61,0.4016708945157865
75% Corpus,10,0.31,0.9099999999999999,0.37081893999423216
75% Corpus,10,0.31,symmetric,0.3963055910444587
75% Corpus,10,0.61,0.01,0.5020943699538581
75% Corpus,10,0.61,0.31,0.3911111891252535
75% Corpus,10,0.61,0.61,0.39896416046079414
75% Corpus,10,0.61,0.9099999999999999,0.40300007376152136
75% Corpus,10,0.61,symmetric,0.38593724461629886
75% Corpus,10,0.9099999999999999,0.01,0.5173021104849296
75% Corpus,10,0.9099999999999999,0.31,0.40171265077952256
75% Corpus,10,0.9099999999999999,0.61,0.3958828714105188
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4446376907612496
75% Corpus,10,0.9099999999999999,symmetric,0.39823011761890215
75% Corpus,10,symmetric,0.01,0.5183861889106121
75% Corpus,10,symmetric,0.31,0.4015651524053953
75% Corpus,10,symmetric,0.61,0.40238130422373225
75% Corpus,10,symmetric,0.9099999999999999,0.39854391080082674
75% Corpus,10,symmetric,symmetric,0.3864969260670894
75% Corpus,10,asymmetric,0.01,0.507218665007489
75% Corpus,10,asymmetric,0.31,0.4003038647647651
75% Corpus,10,asymmetric,0.61,0.40548479592805975
75% Corpus,10,asymmetric,0.9099999999999999,0.3665246354736015
75% Corpus,10,asymmetric,symmetric,0.4098279455676728
100% Corpus,2,0.01,0.01,0.5184018266130104
100% Corpus,2,0.01,0.31,0.38238978220986286
100% Corpus,2,0.01,0.61,0.3712683378515443
100% Corpus,2,0.01,0.9099999999999999,0.3619602366618131
100% Corpus,2,0.01,symmetric,0.3738007507871196
100% Corpus,2,0.31,0.01,0.5184018266130106
100% Corpus,2,0.31,0.31,0.3907784509121736
100% Corpus,2,0.31,0.61,0.37800830511679917
100% Corpus,2,0.31,0.9099999999999999,0.37454096789605007
100% Corpus,2,0.31,symmetric,0.38501313728609043
100% Corpus,2,0.61,0.01,0.49968568192589835
100% Corpus,2,0.61,0.31,0.3985765576487048
100% Corpus,2,0.61,0.61,0.36103964450873793
100% Corpus,2,0.61,0.9099999999999999,0.35906937696032953
100% Corpus,2,0.61,symmetric,0.36552866049838695
100% Corpus,2,0.9099999999999999,0.01,0.5032769700363896
100% Corpus,2,0.9099999999999999,0.31,0.3764099463015203
100% Corpus,2,0.9099999999999999,0.61,0.35906937696032937
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.36869686815740815
100% Corpus,2,0.9099999999999999,symmetric,0.3616499455062341
100% Corpus,2,symmetric,0.01,0.49968568192589835
100% Corpus,2,symmetric,0.31,0.3766694819183254
100% Corpus,2,symmetric,0.61,0.3590693769603295
100% Corpus,2,symmetric,0.9099999999999999,0.36972429252010053
100% Corpus,2,symmetric,symmetric,0.3766854570668459
100% Corpus,2,asymmetric,0.01,0.4845282625129984
100% Corpus,2,asymmetric,0.31,0.381773634659463
100% Corpus,2,asymmetric,0.61,0.3804836503717408
100% Corpus,2,asymmetric,0.9099999999999999,0.38726677397614495
100% Corpus,2,asymmetric,symmetric,0.36982914104833253
100% Corpus,3,0.01,0.01,0.5063630036529319
100% Corpus,3,0.01,0.31,0.38491739914443723
100% Corpus,3,0.01,0.61,0.396728229477384
100% Corpus,3,0.01,0.9099999999999999,0.3815677515775766
100% Corpus,3,0.01,symmetric,0.38561276521849414
100% Corpus,3,0.31,0.01,0.5008691422713182
100% Corpus,3,0.31,0.31,0.38826458535123637
100% Corpus,3,0.31,0.61,0.383172584960694
100% Corpus,3,0.31,0.9099999999999999,0.3768267891451437
100% Corpus,3,0.31,symmetric,0.3924745846866471
100% Corpus,3,0.61,0.01,0.5055905043460301
100% Corpus,3,0.61,0.31,0.37967980046210553
100% Corpus,3,0.61,0.61,0.36718250577041817
100% Corpus,3,0.61,0.9099999999999999,0.35981254117312766
100% Corpus,3,0.61,symmetric,0.38532591604157096
100% Corpus,3,0.9099999999999999,0.01,0.49824212821509234
100% Corpus,3,0.9099999999999999,0.31,0.364899200902226
100% Corpus,3,0.9099999999999999,0.61,0.35100975913823085
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.36900632233023484
100% Corpus,3,0.9099999999999999,symmetric,0.3652016604972281
100% Corpus,3,symmetric,0.01,0.509494695460066
100% Corpus,3,symmetric,0.31,0.39684363940744866
100% Corpus,3,symmetric,0.61,0.38498347515416914
100% Corpus,3,symmetric,0.9099999999999999,0.3866245570960367
100% Corpus,3,symmetric,symmetric,0.40710897378879496
100% Corpus,3,asymmetric,0.01,0.5229597625755669
100% Corpus,3,asymmetric,0.31,0.38725129552669285
100% Corpus,3,asymmetric,0.61,0.3858631420135132
100% Corpus,3,asymmetric,0.9099999999999999,0.3947734754687808
100% Corpus,3,asymmetric,symmetric,0.39222539452358823
100% Corpus,4,0.01,0.01,0.5332771568564343
100% Corpus,4,0.01,0.31,0.3915963664018049
100% Corpus,4,0.01,0.61,0.4110844259163683
100% Corpus,4,0.01,0.9099999999999999,0.4118095086329985
100% Corpus,4,0.01,symmetric,0.41202409695458486
100% Corpus,4,0.31,0.01,0.5595032517095339
100% Corpus,4,0.31,0.31,0.4051263903734175
100% Corpus,4,0.31,0.61,0.4000887785304347
100% Corpus,4,0.31,0.9099999999999999,0.3967986269259204
100% Corpus,4,0.31,symmetric,0.41873544215246916
100% Corpus,4,0.61,0.01,0.5223909594210187
100% Corpus,4,0.61,0.31,0.41047207735011376
100% Corpus,4,0.61,0.61,0.3953164871431726
100% Corpus,4,0.61,0.9099999999999999,0.3939901553234832
100% Corpus,4,0.61,symmetric,0.3876379012493175
100% Corpus,4,0.9099999999999999,0.01,0.5101002290814887
100% Corpus,4,0.9099999999999999,0.31,0.3825437921993735
100% Corpus,4,0.9099999999999999,0.61,0.38501444853657574
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.37812435002656064
100% Corpus,4,0.9099999999999999,symmetric,0.38274087184090255
100% Corpus,4,symmetric,0.01,0.5506391744535176
100% Corpus,4,symmetric,0.31,0.40903163092324335
100% Corpus,4,symmetric,0.61,0.39741892899183895
100% Corpus,4,symmetric,0.9099999999999999,0.41004027345582594
100% Corpus,4,symmetric,symmetric,0.4169421150825261
100% Corpus,4,asymmetric,0.01,0.5490814770679755
100% Corpus,4,asymmetric,0.31,0.4108994859784868
100% Corpus,4,asymmetric,0.61,0.4301614556052083
100% Corpus,4,asymmetric,0.9099999999999999,0.4669457057620934
100% Corpus,4,asymmetric,symmetric,0.4103636475509105
100% Corpus,5,0.01,0.01,0.5410034410002101
100% Corpus,5,0.01,0.31,0.4186396170765655
100% Corpus,5,0.01,0.61,0.3793872676878401
100% Corpus,5,0.01,0.9099999999999999,0.40537160018050694
100% Corpus,5,0.01,symmetric,0.4303386441564375
100% Corpus,5,0.31,0.01,0.5551962676737411
100% Corpus,5,0.31,0.31,0.4099827539597169
100% Corpus,5,0.31,0.61,0.4015658185215233
100% Corpus,5,0.31,0.9099999999999999,0.4137384821137144
100% Corpus,5,0.31,symmetric,0.409692068851981
100% Corpus,5,0.61,0.01,0.5087952827812092
100% Corpus,5,0.61,0.31,0.3882681988251032
100% Corpus,5,0.61,0.61,0.40160681906132306
100% Corpus,5,0.61,0.9099999999999999,0.39971185964498473
100% Corpus,5,0.61,symmetric,0.38700217054824926
100% Corpus,5,0.9099999999999999,0.01,0.5183293851826258
100% Corpus,5,0.9099999999999999,0.31,0.3768846206741046
100% Corpus,5,0.9099999999999999,0.61,0.38662383762565583
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3617184013734219
100% Corpus,5,0.9099999999999999,symmetric,0.3894227789794803
100% Corpus,5,symmetric,0.01,0.5440458731993426
100% Corpus,5,symmetric,0.31,0.40589442518867475
100% Corpus,5,symmetric,0.61,0.4035489545509222
100% Corpus,5,symmetric,0.9099999999999999,0.38194606012321897
100% Corpus,5,symmetric,symmetric,0.41850556442506515
100% Corpus,5,asymmetric,0.01,0.5230421308175838
100% Corpus,5,asymmetric,0.31,0.38502627426476027
100% Corpus,5,asymmetric,0.61,0.39978706923101115
100% Corpus,5,asymmetric,0.9099999999999999,0.4627616584332911
100% Corpus,5,asymmetric,symmetric,0.38527525220999254
100% Corpus,6,0.01,0.01,0.5594716144569006
100% Corpus,6,0.01,0.31,0.4069849748139814
100% Corpus,6,0.01,0.61,0.3940551095521527
100% Corpus,6,0.01,0.9099999999999999,0.40537416137576293
100% Corpus,6,0.01,symmetric,0.41621744520535014
100% Corpus,6,0.31,0.01,0.5317230755566532
100% Corpus,6,0.31,0.31,0.3899874674119681
100% Corpus,6,0.31,0.61,0.38879577116520175
100% Corpus,6,0.31,0.9099999999999999,0.3866592711258752
100% Corpus,6,0.31,symmetric,0.3849604269721861
100% Corpus,6,0.61,0.01,0.5093814547955814
100% Corpus,6,0.61,0.31,0.39882355155498456
100% Corpus,6,0.61,0.61,0.39374156474702443
100% Corpus,6,0.61,0.9099999999999999,0.39976112656426516
100% Corpus,6,0.61,symmetric,0.38936097532887226
100% Corpus,6,0.9099999999999999,0.01,0.5203822245836452
100% Corpus,6,0.9099999999999999,0.31,0.40262761916425377
100% Corpus,6,0.9099999999999999,0.61,0.3707525417200615
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3667252940624131
100% Corpus,6,0.9099999999999999,symmetric,0.3962468567904873
100% Corpus,6,symmetric,0.01,0.5258768978927841
100% Corpus,6,symmetric,0.31,0.4003895544769198
100% Corpus,6,symmetric,0.61,0.4001821608594271
100% Corpus,6,symmetric,0.9099999999999999,0.39810065617870766
100% Corpus,6,symmetric,symmetric,0.4061242466930502
100% Corpus,6,asymmetric,0.01,0.5208851886624146
100% Corpus,6,asymmetric,0.31,0.3797965818717623
100% Corpus,6,asymmetric,0.61,0.4115123768423526
100% Corpus,6,asymmetric,0.9099999999999999,0.4333287673582437
100% Corpus,6,asymmetric,symmetric,0.39458672358860997
100% Corpus,7,0.01,0.01,0.5427157483596382
100% Corpus,7,0.01,0.31,0.42012339722522585
100% Corpus,7,0.01,0.61,0.40352545621436403
100% Corpus,7,0.01,0.9099999999999999,0.41285140574527934
100% Corpus,7,0.01,symmetric,0.42549234770860417
100% Corpus,7,0.31,0.01,0.5480791469525503
100% Corpus,7,0.31,0.31,0.4039950710897627
100% Corpus,7,0.31,0.61,0.3932879129633805
100% Corpus,7,0.31,0.9099999999999999,0.4823070566798406
100% Corpus,7,0.31,symmetric,0.41542689980747793
100% Corpus,7,0.61,0.01,0.5173835947709324
100% Corpus,7,0.61,0.31,0.3987143083206909
100% Corpus,7,0.61,0.61,0.3933218886052993
100% Corpus,7,0.61,0.9099999999999999,0.42417635464411074
100% Corpus,7,0.61,symmetric,0.3959391165076321
100% Corpus,7,0.9099999999999999,0.01,0.5037574524384154
100% Corpus,7,0.9099999999999999,0.31,0.4043207486229088
100% Corpus,7,0.9099999999999999,0.61,0.3951537610937262
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.41026349803092577
100% Corpus,7,0.9099999999999999,symmetric,0.4057134204059595
100% Corpus,7,symmetric,0.01,0.5439137088860481
100% Corpus,7,symmetric,0.31,0.41685338184940074
100% Corpus,7,symmetric,0.61,0.3978375276404428
100% Corpus,7,symmetric,0.9099999999999999,0.4179461688810719
100% Corpus,7,symmetric,symmetric,0.4396985871922418
100% Corpus,7,asymmetric,0.01,0.540592519165357
100% Corpus,7,asymmetric,0.31,0.4112858839870315
100% Corpus,7,asymmetric,0.61,0.42999362497537436
100% Corpus,7,asymmetric,0.9099999999999999,0.3408604816036521
100% Corpus,7,asymmetric,symmetric,0.4105153149827636
100% Corpus,8,0.01,0.01,0.5297841948737645
100% Corpus,8,0.01,0.31,0.40180920444850127
100% Corpus,8,0.01,0.61,0.3913376637258956
100% Corpus,8,0.01,0.9099999999999999,0.411961783574978
100% Corpus,8,0.01,symmetric,0.4116693217277972
100% Corpus,8,0.31,0.01,0.5437963554387039
100% Corpus,8,0.31,0.31,0.416409295560333
100% Corpus,8,0.31,0.61,0.41443948340221043
100% Corpus,8,0.31,0.9099999999999999,0.42380904659437196
100% Corpus,8,0.31,symmetric,0.40243722468783977
100% Corpus,8,0.61,0.01,0.5044208401267701
100% Corpus,8,0.61,0.31,0.38350974455238274
100% Corpus,8,0.61,0.61,0.38489717582895344
100% Corpus,8,0.61,0.9099999999999999,0.41815600843129996
100% Corpus,8,0.61,symmetric,0.3857072846270289
100% Corpus,8,0.9099999999999999,0.01,0.5094831314161621
100% Corpus,8,0.9099999999999999,0.31,0.39679310801005674
100% Corpus,8,0.9099999999999999,0.61,0.38580338914797674
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.41922104241664
100% Corpus,8,0.9099999999999999,symmetric,0.4054762653823657
100% Corpus,8,symmetric,0.01,0.5445199665564726
100% Corpus,8,symmetric,0.31,0.4184062485580411
100% Corpus,8,symmetric,0.61,0.42494226649263056
100% Corpus,8,symmetric,0.9099999999999999,0.3984671018396162
100% Corpus,8,symmetric,symmetric,0.4029864810385567
100% Corpus,8,asymmetric,0.01,0.5051364956888518
100% Corpus,8,asymmetric,0.31,0.42104052007136095
100% Corpus,8,asymmetric,0.61,0.3922559550046606
100% Corpus,8,asymmetric,0.9099999999999999,0.3288607581401829
100% Corpus,8,asymmetric,symmetric,0.38982969625347014
100% Corpus,9,0.01,0.01,0.5360959357603751
100% Corpus,9,0.01,0.31,0.39746856835047284
100% Corpus,9,0.01,0.61,0.3985167321434469
100% Corpus,9,0.01,0.9099999999999999,0.42186211886086966
100% Corpus,9,0.01,symmetric,0.37792427693835934
100% Corpus,9,0.31,0.01,0.5047101527220508
100% Corpus,9,0.31,0.31,0.3973135502308793
100% Corpus,9,0.31,0.61,0.37319644843602506
100% Corpus,9,0.31,0.9099999999999999,0.3882234222573875
