Leaning,Media name,Media url,Media Id
right,media_name,media_url,media_id
right,New York Sun,http://www.nysun.com,28464
right,Blaze,http://www.theblaze.com,22088
right,Heritage,http://www.heritage.org,20036
right,National Review,http://www.nationalreview.com/,1117
right,pop.org,http://pop.org/,112109
right,cmu.edu,http://www.cmu.edu/#spider,67234
right,svd,http://www.svd.se,40125
right,LifeNews,http://www.lifenews.com/,83280
right,israelnationalnews.com,http://www.israelnationalnews.com,20918
right,aclj.org,http://aclj.org/#spider,70529
right,RedState,http://www.redstate.com,128
right,Twitchy,http://twitchy.com,24667
right,Jihad Watch,http://jihadwatch.org,1129
right,Washington Times,http://www.washingtontimes.com/,101
right,RNC,http://gop.com,17970
right,Free Republic,http://www.freerepublic.com/tag/*/index,304
right,NewsBusters,http://newsbusters.org,1125
right,"Guy Fawkes' blog of parliamentary plots, rumours and conspiracy",http://www.order-order.com,526
right,drudgereport,http://drudgereport.com/,1145
right,DRNyheder,http://www.dr.dk/nyheder/,40374
right,Fox News,http://www.foxnews.com/,1092
right,Slashdot,http://politics.slashdot.org,166
right,Flopping Aces  ,http://www.floppingaces.net,198
right,Commentary,http://www.commentarymagazine.com/blogs,6264
right,"HotHardware - Tech, Computers, Gadgets, Reviews, News and Analysis",http://hothardware.com,7246
right,White House,http://whitehouse.gov,17969
right,RealClearPolitics,http://realclearpolitics.com/,1040
right,DickMorris.com,http://www.dickmorris.com/blog/,622
right,Hot Air  ,http://hotair.com,117
right,Vlad Tepes | “Objects in history may be closer than they appear” – Eeyore for Vlad,http://vladtepesblog.com,7070
right,ARRA News Service,http://arkansasgopwing.blogspot.com,6444
right,Ace of Spades HQ,http://ace.mu.nu/,675
right,Michelle Malkin ,http://michellemalkin.com/,871
right,The Long War Journal,http://www.longwarjournal.org,6273
right,Hugh Hewitt,http://www.hughhewitt.com/blog/,4481
right,Althouse,http://althouse.blogspot.com/,687
right,The Beacon,http://www.independent.org/blog,7040
right,"Bakersfield.com - Kern County news, events, shopping & search",http://www.bakersfield.com/,27817
right,The Sean Hannity Show,http://www.hannity.com/,28136
right,Breitbart,http://www.breitbart.com,19334
right,news.walla.co.il,http://news.walla.co.il/,61417
right,Pro-life and Anti Abortion Blog - Pro Life Leaders and Activists,http://www.priestsforlife.org/blog/,83293
right,liveleak.com,http://www.liveleak.com,26524
right,outono.net,http://outono.net/,179818
right,fellowshipoftheminds.com,http://fellowshipoftheminds.com/#spider,89978
right,omicsonline.org,http://www.omicsonline.org/#spider,97590
right,catholicworldreport.com,http://www.catholicworldreport.com/#spider,87487
right,lewrockwell.com,http://www.lewrockwell.com,28661
right,shtfplan.com,http://www.shtfplan.com,21520
right,CNS News,http://cnsnews.com,20357
right,winteriscoming.net,http://winteriscoming.net/,226459
right,endoftheamericandream.com,http://endoftheamericandream.com,20344
right,American Free Press,http://americanfreepress.net/#spider,69320
right,bishop-accountability.org,http://www.bishop-accountability.org/#spider,87187
right,mercola.com,http://www.mercola.com,25130
right,ice.gov,http://www.ice.gov,18918
right,amren.com,http://www.amren.com,26186
right,PJ Media,http://pjmedia.com,19082
right,New American,http://thenewamerican.com,21760
right,Rasmussen Reports,http://www.rasmussenreports.com,25209
right,townhall.com,http://townhall.com,19763
right,danielpipes.org,http://www.danielpipes.org/#spider,68058
right,politicalvelcraft.org,http://politicalvelcraft.org/#spider,70936
right,Daily Caller,http://dailycaller.com,18775
right,renewamerica.com,http://www.renewamerica.com/#spider,54558
right,torontosun.com,http://www.torontosun.com,26063
right,nationalcenter.org,http://www.nationalcenter.org,24795
right,Christian Post,http://www.christianpost.com/#spider,67320
right,israellycool.com,http://israellycool.com/,62923
right,Jerusalem Post,http://www.jpost.com/,39224
right,finance.townhall.com,http://finance.townhall.com,24755
right,InfoWars,http://www.infowars.com,18515
right,American Conservative,http://www.theamericanconservative.com,22055
right,meforum.org,http://www.meforum.org/#spider,69480
right,Reason.com,http://reason.com/,72523
right,Investors,http://www.investors.com,27011
right,thesun.ie,http://thesun.ie/,131113
right,GatewayPundit,http://www.thegatewaypundit.com,25444
right,raymondibrahim.com,http://www.raymondibrahim.com/#spider,67110
right,ondacero,http://www.ondacero.es/index.html,41795
right,vaccineimpact.com,http://vaccineimpact.com/,231259
right,libertaddigital.com,http://libertaddigital.com/,64546
right,media_name,media_url,media_id
right,Fox News,http://www.foxnews.com/,1092
right,dziennik.pl,http://dziennik.pl/,66310
right,destentor,http://www.destentor.nl/,38933
right,telegraaf.nl,http://telegraaf.nl/,55612
right,latribuna,http://www.latribuna.hn/,41822
right,elderofziyon.blogspot.com,http://elderofziyon.blogspot.com/,57653
right,prensalibre,http://www.prensalibre.com/,40893
right,goteborgpost,http://www.gp.se/,38833
right,Free Republic,http://www.freerepublic.com/tag/*/index,304
right,drudgereport,http://drudgereport.com/,1145
right,Twitchy,http://twitchy.com,24667
right,Blaze,http://www.theblaze.com,22088
right,azgovernor.gov,http://www.azgovernor.gov/#spider,97069
right,web.tigerwoods.com,http://web.tigerwoods.com/,60401
right,speroforum.com,http://speroforum.com/,55727
right,Jerusalem Post,http://www.jpost.com/,39224
right,wyborcza,"http://wyborcza.pl/0,0.html",40939
right,svd,http://www.svd.se,40125
right,thehindubusinessline.com,http://www.thehindubusinessline.com/#spider,67989
right,amarujala.com,http://amarujala.com/,262319
right,interfax-ua-ru,http://www.interfax.com.ua/rus/,40919
right,libertaddigital.com,http://libertaddigital.com/,64546
right,The Sean Hannity Show,http://www.hannity.com/,28136
right,spa,http://www.spa.gov.sa/,40247
right,DRNyheder,http://www.dr.dk/nyheder/,40374
right,Hot Air  ,http://hotair.com,117
right,b92net_sr,http://www.b92.net/info/,39593
right,diepresse,http://diepresse.com/,41295
right,rmf24.pl,http://rmf24.pl/,58449
right,at5,http://www.at5.nl//,39538
right,baz,http://bazonline.ch/,39268
right,Althouse,http://althouse.blogspot.com/,687
